	Unnamed: 0	City	latitude	longitude
5347	5349	TUNBRIDGE	43.8888542	43.8888542
5348	5350	TECUMSEH	42.0039331	42.0039331
5349	5351	ROMANSVILLE	39.9520522	39.9520522
5350	5352	DORCHESTER	50.7132064	50.7132064
5351	5353	ORCUTT	34.8650717	34.8650717
5352	5354	RONCEVERTE	37.7497542	37.7497542
5353	5355	STEGER	41.4700348	41.4700348
5354	5356	PERKINSVILLE	34.9018531	34.9018531
5355	5357	HUDSON FALLS	43.3083512	43.3083512
5356	5358	LA GRANGE HIGHLANDS	50.84729775	50.84729775
5357	5359	NEWPORT COAST	33.5963719	33.5963719
5358	5360	ATOKA	34.383855	34.383855
5359	5361	KAMIAH	46.2270934	46.2270934
5360	5362	THE PLAINS	38.8624506	38.8624506
5361	5363	PAINTED POST	42.1638135	42.1638135
5362	5364	SAINT PAUL PARK	39.0292116	39.0292116
5363	5365	LENOX	40.8812978	40.8812978
5364	5366	LA FERIA	26.1588627	26.1588627
5365	5367	SHERBURNE	45.4427088	45.4427088
5366	5368	SKANEATELES	42.947011	42.947011
5367	5369	COLOMA	42.1861494	42.1861494
5368	5370	ENDWELL	42.1128526	42.1128526
5369	5371	FRENCH VILLAGE	44.6309171	44.6309171
5370	5372	DEADWOOD	44.376651	44.376651
5371	5373	CARUTHERSVILLE	36.1931245	36.1931245
5372	5374	SEAMAN	38.942014	38.942014
5373	5375	SELDOVIA	59.440059	59.440059
5374	5376	BIGELOW	43.505243	43.505243
5375	5377	CASTROVILLE	29.3565001	29.3565001
5376	5378	BARRE	43.7513	43.7513
5377	5379	DREXEL HILL	39.9470567	39.9470567
5378	5380	MARINA	36.6900986	36.6900986
5379	5381	GAFFNEY	35.0717945	35.0717945
5380	5382	STANWOOD	41.8927197	41.8927197
5381	5383	TWIN LAKES	43.5596779	43.5596779
5382	5384	SOUTH WILMINGTON	41.17281	41.17281
5383	5385	BRENT	51.5639957	51.5639957
5384	5386	PRUDHOE BAY	70.2450108	70.2450108
5385	5387	HURT	37.0926426	37.0926426
5386	5388	MASTIC BEACH	40.76078865	40.76078865
5387	5389	GILL	44.5612668	44.5612668
5388	5390	MANAHAWKIN	39.69069545	39.69069545
5389	5391	GALENA PARK	29.7335616	29.7335616
5390	5392	COTUIT	41.6167808	41.6167808
5391	5393	SIX MILE	26.1309933	26.1309933
5392	5394	ALTHA	30.5710285	30.5710285
5393	5395	PURLEAR	36.1820751	36.1820751
5394	5396	HUTCHINSON ISLAND	27.2961557	27.2961557
5395	5397	WEST ALLIS	43.0166806	43.0166806
5396	5398	IMLAY CITY	43.0247496	43.0247496
5397	5399	IOWA	41.9216734	41.9216734
5398	5400	ACTON	51.5081402	51.5081402
5399	5401	SCURRY	32.7225172	32.7225172
5400	5402	BLUE ISLAND	41.6572753	41.6572753
5401	5403	LABELLE	46.279106	46.279106
5402	5404	SHOW LOW	34.2542084	34.2542084
5403	5405	FINCASTLE	38.3078471	38.3078471
5404	5406	FREER	27.8781306	27.8781306
5405	5407	FALMOUTH	50.1552197	50.1552197
5406	5408	ABITA SPRINGS	30.4785257	30.4785257
5407	5409	HEIDELBERG	49.4093582	49.4093582
5408	5410	WILLOW SPRING	34.6700217	34.6700217
5409	5411	MATTAWA	46.317296	46.317296
5410	5412	PLAYA DEL REY	33.9541453	33.9541453
5411	5413	POINT	32.9315089	32.9315089
5412	5414	ISANTI	45.56932235	45.56932235
5413	5415	SOUTH GLENS FALLS	43.299447	43.299447
5414	5416	MC MURRAY	40.2472301	40.2472301
5415	5417	MINDORO	12.86924	12.86924
5416	5418	SAINT JOHNSBURY	44.419464	44.419464
5417	5419	SUCCASUNNA	40.8684325	40.8684325
5418	5420	NEW RICHMOND	48.1651194	48.1651194
5419	5421	KEYSVILLE	33.242412	33.242412
5420	5422	FORT EDWARD	52.56622675	52.56622675
5421	5423	HAINES CITY	28.126625	28.126625
5422	5424	TOWER	47.43863905	47.43863905
5423	5425	CADDO MILLS	33.0656732	33.0656732
5424	5426	NITRO	48.31295	48.31295
5425	5427	OSAWATOMIE	38.4970321	38.4970321
5426	5428	REDINGTON BEACH	27.8086364	27.8086364
5427	5429	NORTHAMPTON	52.23433665	52.23433665
5428	5430	PORTER RANCH	34.2818164	34.2818164
5429	5431	NORTH WILKESBORO	36.1584651	36.1584651
5430	5432	MILL HALL	41.10729	41.10729
5431	5433	LOUDONVILLE	40.6355985	40.6355985
5432	5434	SARONA	23.2206029	23.2206029
5433	5435	GRANBY	45.3990409	45.3990409
